,side_effect,n_instance,auprc-0,auprc-1,auprc-2
125,133.0,1774.0,0.8007016544630386,0.8313169378642232,0.8313006594648839
126,134.0,4270.0,0.7900851543450602,0.8181349783067762,0.8183100968829906
127,135.0,846.0,0.8237305997026347,0.8723928701548878,0.8728552280399869
128,136.0,2155.0,0.795068141664024,0.832966685136025,0.8333265047003088
129,137.0,3831.0,0.7776047001999529,0.8126674787434839,0.8138311334490161
130,138.0,1090.0,0.7895572415182369,0.8322074649720052,0.8338317441853008
131,139.0,537.0,0.8684626068781168,0.8972487868841853,0.8982659475339165
132,140.0,1661.0,0.8125758714408718,0.841215302740552,0.8415425753518534
133,141.0,3567.0,0.7946469316540724,0.8329138374574784,0.8334646022198944
134,142.0,2967.0,0.7577924075137296,0.788448301558025,0.7880689516974074
135,143.0,4679.0,0.780757012196541,0.8145078674303197,0.8146574615406953
136,144.0,1501.0,0.7961781190684756,0.8210094614293012,0.821448959111759
137,145.0,700.0,0.8047145059234443,0.844791356039871,0.8454358413423592
138,146.0,1301.0,0.8175692009628799,0.8381002365934677,0.8387467380446233
139,147.0,298.0,0.8773862002412368,0.9156844766621006,0.9143750390121579
140,148.0,1753.0,0.8044282933418799,0.8448025526160601,0.8441346619804108
141,150.0,1365.0,0.8043204766309011,0.8376848210009075,0.838787440556767
142,151.0,989.0,0.8105775077148433,0.8413173955946308,0.8410344783966668
143,153.0,2198.0,0.793602873719443,0.8368620345115894,0.8367750152530576
144,154.0,3873.0,0.7475977402935917,0.7783069736582924,0.779215193226929
145,155.0,261.0,0.8568872661071605,0.9066685726242987,0.9081486467018695
146,156.0,2054.0,0.8096555483687733,0.8439406227260224,0.844399408294311
147,157.0,400.0,0.8526370451192292,0.8766127866874017,0.8774176490481149
148,158.0,2401.0,0.8031358212087644,0.8434606447498596,0.8438094776021782
149,159.0,1209.0,0.8320844425893951,0.8668798213781991,0.8667669496750635
150,160.0,2494.0,0.7770543831561829,0.8060293883671492,0.8067780943277069
151,161.0,914.0,0.7930157529122439,0.824497173954018,0.8257615761878491
152,162.0,1854.0,0.7664205956801996,0.8110861872249558,0.8116965326843743
153,163.0,297.0,0.8392741461425216,0.8559519276174004,0.8584430837059475
154,164.0,2007.0,0.812275312199421,0.8391093935173578,0.8402293945955442
155,165.0,908.0,0.8520249157602671,0.8857111414735542,0.8857259152391396
156,166.0,688.0,0.8376241324665591,0.8785102388397964,0.877523868133795
157,167.0,581.0,0.7945231308922694,0.8283281037776467,0.8282293899412583
158,168.0,1508.0,0.7985162532237983,0.8283048746511136,0.8289823184860571
159,169.0,1728.0,0.7931877233146539,0.8249400709973431,0.8245421872752652
