,side_effect,n_instance,auprc-0,auprc-1,auprc-2
53,61.0,1625.0,0.7659260277759599,0.7719072905407234,0.7760232742666195
54,62.0,2787.0,0.6979712065024282,0.7331839127801787,0.7344217325165312
55,63.0,795.0,0.8003888562485895,0.8432412354430898,0.8391499454256424
56,64.0,2534.0,0.7544732208333083,0.7620758061135648,0.761996965352048
57,65.0,1432.0,0.7664301669134794,0.7976228163461502,0.7998097979265685
58,66.0,3567.0,0.6977502476751758,0.7238196019804599,0.7219686550235205
59,67.0,1576.0,0.733038678939234,0.7810302687160624,0.7815963858228151
60,68.0,5315.0,0.7337042259553208,0.7522516616431919,0.7570144751964939
61,69.0,1933.0,0.7771688138744502,0.8108876052307644,0.8122856251539183
62,70.0,4689.0,0.7184847356879287,0.73452504244418,0.7331717435529914
63,71.0,1865.0,0.7723123592045644,0.8201919763570135,0.8297327645119762
64,72.0,2164.0,0.7850585872969509,0.7944386339385401,0.7948517446122931
65,73.0,2711.0,0.7316713917493998,0.7428489304238831,0.7467011888812903
66,74.0,5869.0,0.7346324903307149,0.7484501121801481,0.7484127151138202
67,75.0,2820.0,0.7284553395320512,0.7379632478644511,0.7408085602180998
68,76.0,2569.0,0.7236731591413161,0.7567739520535864,0.7529540304218368
69,77.0,1889.0,0.7808490252346287,0.8352700192764904,0.8330653671225723
70,78.0,4563.0,0.6952927441475143,0.7127200571156793,0.7155954802929687
71,79.0,3882.0,0.770770182469532,0.7873709973763001,0.7908171595120456
72,80.0,3446.0,0.7753173121587863,0.7902476850353489,0.7936000608910488
73,81.0,3051.0,0.7942935915632294,0.7884072311257576,0.7984926488947695
74,82.0,4062.0,0.7285603665866967,0.7641435055086657,0.7631410226733001
75,83.0,5175.0,0.6979032234726985,0.7204897402513786,0.721832805760722
76,84.0,1222.0,0.8339007519856457,0.8594568863700491,0.865128037567912
77,85.0,3255.0,0.719334874448134,0.7303139583902116,0.7321899815071173
78,86.0,1866.0,0.7536433732249621,0.7867623604894203,0.7835951963037768
79,87.0,1335.0,0.8149262836421334,0.8421002390322766,0.8446296933552375
80,88.0,3758.0,0.750440931850966,0.791214014966368,0.7928720731134888
81,89.0,576.0,0.8745236355440837,0.8853385107235354,0.8855632229514881
82,90.0,861.0,0.8100794168393957,0.8494128547992906,0.8519128732106706
83,91.0,1095.0,0.8614864403264871,0.8548594263257223,0.86135528467206
84,92.0,463.0,0.7627050549732352,0.7961143413096345,0.7812851243156789
85,93.0,1480.0,0.8531799954670857,0.8723224640125783,0.8849769945880972
86,94.0,3256.0,0.7269699230545679,0.7488830957619399,0.7551739512723342
87,95.0,557.0,0.8179086780089383,0.8353825666564223,0.8375397603636565
88,96.0,1136.0,0.8272958723297669,0.8179200880942183,0.8232407382464532
89,97.0,1694.0,0.7094660472077602,0.7317900880705686,0.7348806920765507
90,98.0,1973.0,0.775713597832058,0.816075357955802,0.815592310860924
91,99.0,371.0,0.8429289822350604,0.8735968740383966,0.8775509024519
92,100.0,2490.0,0.7708038156777774,0.7963162084734924,0.7980432083987767
93,101.0,2003.0,0.717051026919878,0.7438425086291248,0.7425126731949669
94,102.0,2101.0,0.738257303229868,0.7327875166605639,0.7350869794859665
95,103.0,480.0,0.8678860211785098,0.8645528006279881,0.8629518356978576
96,104.0,6025.0,0.7263022464262059,0.7457449946661625,0.7477864478581008
97,105.0,433.0,0.8072390267390706,0.836167329352453,0.8397656274048546
98,106.0,537.0,0.891861306228322,0.939279881976096,0.9396934466460423
99,107.0,2211.0,0.7637419239355248,0.7807374816388486,0.781631482053866
100,108.0,2187.0,0.7866732294858916,0.8166950785186836,0.8179357823295678
101,109.0,2176.0,0.7265325725556145,0.7716245667786841,0.7733080686686091
102,110.0,254.0,0.8674450317080631,0.8763562527139648,0.8740291699728513
103,111.0,864.0,0.8423556712651293,0.8345081262405155,0.8297217494272547
104,112.0,2620.0,0.7410806256118022,0.7866274680916281,0.7853426384980622
105,113.0,1699.0,0.7570118620831318,0.77716455321672,0.7777005413519887
106,114.0,1729.0,0.8205828070252227,0.8476783203457464,0.8521882752836671
107,115.0,1776.0,0.8033251412089061,0.8373968996387355,0.837464742530192
108,116.0,927.0,0.8111076713829086,0.8537935115828953,0.8478355656468948
109,117.0,1327.0,0.804392497073195,0.8391190797492222,0.8337459203925277
110,118.0,1762.0,0.736606807020038,0.780445080706951,0.7828068133718644
111,119.0,724.0,0.8489962162160062,0.8545200749321998,0.8555097337361787
112,120.0,3597.0,0.7371269488144531,0.749685191499569,0.7533093604962419
113,121.0,504.0,0.8182325881856878,0.8871801130949653,0.8740548536780895
114,122.0,5185.0,0.7461799216644885,0.7538086947351086,0.7553024155139892
115,123.0,948.0,0.8259280093814614,0.8370350809068245,0.8297878463756675
116,124.0,917.0,0.7929000353383895,0.7850030315575676,0.7803584208213693
117,125.0,412.0,0.8891563468745098,0.8977522669522404,0.8928812241194978
118,126.0,661.0,0.78565674608635,0.8263127465768478,0.8208970100894155
119,127.0,6017.0,0.7124943995978938,0.7314035772958978,0.7336445449248932
120,128.0,1898.0,0.7884058175909109,0.8165097586791147,0.8158197379615607
121,129.0,224.0,0.7691700754414452,0.8234943017347186,0.8273768578555188
122,130.0,5548.0,0.6986298922411512,0.7196411469165713,0.7192144109291714
123,131.0,3160.0,0.7399874351206412,0.7533429326742644,0.7622016533818157
124,132.0,1762.0,0.7577703441474575,0.7589912425717733,0.7621242625348408
125,133.0,1774.0,0.7533583863131297,0.7829766539559538,0.783355736627501
126,134.0,4270.0,0.7502237446304048,0.7642209253916389,0.7636642095971766
127,135.0,846.0,0.8473846486676342,0.867784816328439,0.869152529444634
128,136.0,2155.0,0.7628210331487217,0.7648191186904227,0.768154375799957
129,137.0,3831.0,0.7272580697873079,0.7598103429492626,0.7647219649073626
130,138.0,1090.0,0.8175955678468714,0.8471669120991455,0.8498820859924017
131,139.0,537.0,0.8675411728367886,0.8904682247023793,0.8952640299854437
132,140.0,1661.0,0.7576169728409045,0.7815661790974744,0.7810372920454268
133,141.0,3567.0,0.7561401566947351,0.8033570666335175,0.8053818341996946
134,142.0,2967.0,0.6946746641977918,0.7122017950653866,0.7149801922874189
135,143.0,4679.0,0.7474298345763152,0.7803839085891549,0.7791796345420001
136,144.0,1501.0,0.757077635340487,0.7832227574397266,0.7813737648406338
137,145.0,700.0,0.7211248557378716,0.7787971823528655,0.7800184508416177
138,146.0,1301.0,0.7703058224096255,0.7857604255566037,0.7935892265404597
139,147.0,298.0,0.9152733032996025,0.9071989378833367,0.910750075148911
140,148.0,1753.0,0.7908920493842777,0.8386710109950277,0.8395397410263685
141,150.0,1365.0,0.7688293576326497,0.7982267676379096,0.7952400659628756
142,151.0,989.0,0.8149945402139421,0.8130257484184527,0.8057173064686052
143,153.0,2198.0,0.7477898356902087,0.7944903287288891,0.7953526035134201
144,154.0,3873.0,0.731544319886183,0.7497422144534773,0.7487026357570934
145,155.0,261.0,0.9014505250047504,0.9191278282530699,0.9354092281148807
146,156.0,2054.0,0.7884531722719462,0.8119684758613674,0.802961766509414
147,157.0,400.0,0.8277975426195658,0.8346846460776773,0.8452140058538576
148,158.0,2401.0,0.7702906022752766,0.8116293936369537,0.8109879330941808
149,159.0,1209.0,0.8480341699726914,0.8806379785287991,0.8840040329595104
150,160.0,2494.0,0.7581150943724322,0.7991849333425058,0.7993063084711128
151,161.0,914.0,0.7564674922550285,0.804677950823466,0.8091422100744395
152,162.0,1854.0,0.7933957376261058,0.8258527208996018,0.8265063714549078
153,163.0,297.0,0.7264505909020231,0.8373787981120406,0.819096514550063
154,164.0,2007.0,0.7881861385972403,0.8058774756493374,0.8117146571351845
155,165.0,908.0,0.8182915232070854,0.8478249013697371,0.8507539527187915
156,166.0,688.0,0.7517842653201512,0.7299188418002504,0.7292137199388
157,167.0,581.0,0.8261293919103216,0.8346941934335721,0.8435074190307157
158,168.0,1508.0,0.768860341960075,0.7924347731364556,0.7947825937089772
159,169.0,1728.0,0.7233148995465385,0.7432952166046476,0.7450873030532204
160,170.0,1842.0,0.7912894738758799,0.8133307927066677,0.8142014167611238
161,171.0,597.0,0.8637813115264409,0.9108670685930439,0.9044293380942122
162,172.0,1955.0,0.769106239354692,0.7937051772156398,0.8013516976329392
163,173.0,1702.0,0.8185041023207336,0.8140228777609363,0.8109635972148147
164,174.0,295.0,0.844362403940131,0.8760717535360545,0.8640694668101402
165,175.0,2970.0,0.7054262821882289,0.7327797274745206,0.7371904902195808
166,176.0,2316.0,0.7922431497286828,0.8259660513451039,0.8281700358362797
167,177.0,2509.0,0.7907800891759023,0.8184144218134811,0.8249297472355157
168,178.0,5350.0,0.7092029382799255,0.7480717699254102,0.7476543285435937
169,179.0,5335.0,0.7223839692900969,0.7540704098021078,0.7522190179705024
170,180.0,500.0,0.7394675582955854,0.7513693458005397,0.7519734275160839
171,181.0,2844.0,0.7494923752014309,0.7917160956603808,0.7844437685026175
172,182.0,1731.0,0.7845892396716667,0.8030655674630054,0.8011943810265592
173,184.0,842.0,0.7497667279338506,0.793253374403563,0.7793547283064011
174,185.0,1667.0,0.7893072506952407,0.8121951051595295,0.8202822642289931
175,186.0,3308.0,0.7654749819913405,0.791312828059733,0.7946632382098252
176,187.0,1692.0,0.7801694262296714,0.772907253085653,0.7780987813373237
177,188.0,3758.0,0.7477078228792746,0.7716473540408842,0.7737664981362313
178,189.0,1785.0,0.7434401060337347,0.7877603289073835,0.7883737596477542
179,190.0,424.0,0.822011086577484,0.8568175954403611,0.8590913016209263
180,191.0,456.0,0.8511278828286474,0.8470730558728622,0.8665916172947984
181,192.0,5042.0,0.7592401584541644,0.7828179730830034,0.7878178497651792
182,193.0,1744.0,0.7507107460950578,0.7828344885052131,0.7859647577029985
183,194.0,1055.0,0.7554524634916174,0.7415642052608075,0.7451854904745506
184,195.0,1298.0,0.8589733223020453,0.9049234265534889,0.9148067574074021
185,196.0,1501.0,0.837481575567468,0.8796779726626223,0.8733561370667494
186,197.0,4065.0,0.7842487947670896,0.7985128468728,0.8035802671460855
187,198.0,344.0,0.8179362667374487,0.82712209324582,0.835122937446729
188,199.0,942.0,0.7496690234388699,0.8070127706213217,0.7979860450137519
189,200.0,2470.0,0.7622593673354132,0.7930617927021626,0.7975316386352942
190,201.0,2887.0,0.771626186495344,0.7756241059233135,0.7790385287834952
191,202.0,1524.0,0.7275504176634241,0.7639977564403967,0.7652131284858598
192,203.0,1852.0,0.8000714933706417,0.8034657469826623,0.8061525689071746
193,204.0,3715.0,0.7631710326124873,0.8027172173815607,0.8021446794722984
194,205.0,4226.0,0.7157565564649269,0.7464992265545625,0.7492000806947815
195,206.0,3539.0,0.7637716375301733,0.7815890349559638,0.7866905840452938
196,207.0,5830.0,0.7273895279719115,0.7354880306549363,0.7335597810300081
197,208.0,5447.0,0.7095281541939216,0.7257615403312128,0.7275815271345989
198,209.0,2854.0,0.7017353650676031,0.7424267409213623,0.7459092223063322
199,210.0,515.0,0.8690643038641087,0.8846220234346455,0.883142358169262
200,211.0,948.0,0.8327066245066229,0.8409811494070312,0.8433552015279069
201,212.0,4718.0,0.744122580630038,0.752875637558971,0.7507750953080853
202,213.0,3326.0,0.7584986478752966,0.7785702027908319,0.7793583624741965
203,214.0,1309.0,0.8052755391054749,0.8400266536814905,0.843360896942266
204,215.0,3509.0,0.7583203403028957,0.7721875672453784,0.767497202791337
205,216.0,606.0,0.7415997647956907,0.7673248510573908,0.7736352101721591
206,217.0,3520.0,0.7507438076403831,0.7620916422769373,0.766062892392108
207,218.0,3348.0,0.7269846204366042,0.7656059854733239,0.7665561311093487
208,219.0,1003.0,0.8404078474330259,0.8871160838316758,0.8864345621806416
209,220.0,3714.0,0.6907679931990693,0.7022267892014037,0.7088023099604133
210,221.0,3127.0,0.7869222992862233,0.7923082519389524,0.7953815752661441
211,222.0,771.0,0.8240572029306328,0.8468251567690689,0.8482848251535238
212,223.0,3002.0,0.7839269630057638,0.7994105207854671,0.8055243827429384
213,224.0,1797.0,0.8293094865284736,0.8461862166194835,0.8489839178074534
214,225.0,1905.0,0.8227677826753255,0.8483523723142233,0.8578318157214623
215,226.0,5013.0,0.7116145598073421,0.7446521324420091,0.7448973673985181
216,227.0,2826.0,0.7675524744417374,0.8050304617756481,0.8017546732853966
217,228.0,654.0,0.7494701053061193,0.7782260962943031,0.7724864004206545
218,229.0,1698.0,0.8233353972782891,0.8610836671806279,0.8671910656897444
219,230.0,333.0,0.7644405141782059,0.8550064441009777,0.8508688082487228
220,231.0,2019.0,0.7936230337074921,0.8107166254238053,0.8116331295184069
221,232.0,2865.0,0.7498760862628786,0.8009223092984185,0.8009795016644555
222,233.0,2801.0,0.7710377530550541,0.8046602549729409,0.8063174472903303
223,234.0,5570.0,0.7409983808604242,0.7578596560176103,0.7620694922040725
224,235.0,3981.0,0.7678745244261787,0.7884271660639742,0.789471616611011
225,236.0,2403.0,0.7871853807205826,0.8351105453233029,0.8319769799903952
226,237.0,959.0,0.7752154893561226,0.834022749130817,0.8294508346759636
227,238.0,3119.0,0.7496287006133076,0.779437372476464,0.7806878153859041
228,239.0,1642.0,0.7917812415170328,0.826951006254616,0.8294825134699877
229,240.0,273.0,0.7655283866297893,0.9376164034040084,0.9394757861969014
230,241.0,1045.0,0.7404098608827618,0.7841453031272523,0.7812115481658871
